layer,demographic,domain,effect,p_value,t_stat,n_pairs,selection_method
5,income,climate,-0.4755991258204378,1.9696885341297313e-49,-15.054639120619843,3000,significant
5,income,health,-0.3613917148631948,1.1188648516341032e-168,-30.91538920921771,1800,significant
5,income,digital,0.4196041051323561,4.5009529757635314e-124,24.506326896094013,4200,significant
5,income,economy,0.5936330510506966,2.009048043707614e-29,11.441419856158806,2040,significant
5,income,values,0.28702890924186963,1.605426802399664e-08,5.671507416959777,2160,significant
5,age,climate,0.16326162838357136,2.7094987113880475e-164,29.109686560024716,3000,significant
5,age,health,-0.0430126546774194,5.487090040794565e-32,-12.003367512833583,1800,significant
5,age,digital,0.07344547085849075,9.205319289557353e-35,12.411034225513575,4200,significant
5,age,economy,0.18151439252996704,1.28838949447944e-73,18.910631271479186,2040,significant
5,age,values,-0.2724902306300373,3.9347961992332664e-82,-20.048367773739816,2160,significant
5,gender,climate,0.1722692082219641,2.9950089582858004e-57,16.29239038632008,3000,significant
5,gender,health,0.3010303571593876,4.298889381153857e-211,35.65678353118161,1800,significant
5,gender,digital,0.007364218998749861,0.072657657003383,1.7954264720768527,4200,significant
5,gender,economy,-0.14591274115638994,8.266846823504778e-53,-15.746303850528397,2040,significant
5,gender,values,-0.07877818913759896,4.746966768593502e-06,-4.587319535490837,2160,significant
5,education,climate,-0.4798168541812024,1.222372824976987e-163,-29.043341997387383,3000,significant
5,education,health,-0.5218760429577377,1.0750414e-317,-47.266187666373455,1800,significant
5,education,digital,0.0838976475808179,4.3011546605242416e-24,10.18723064432412,4200,significant
5,education,economy,0.15304467829359766,1.7083942693510392e-25,10.577651060874638,2040,significant
5,education,values,0.2503876160781323,3.4383781101560988e-37,12.987279116417715,2160,significant
5,vote,climate,-0.35157284927791654,5.090533160650742e-36,-12.697289984957704,3000,significant
5,vote,health,-0.5166699064328557,7.782024120209251e-274,-42.49677303947299,1800,significant
5,vote,digital,0.15594053337364358,2.5022508631705437e-30,11.535136894039658,4200,significant
5,vote,economy,0.051612734535029584,0.003891245369665153,2.8901533440096907,2040,significant
5,vote,values,0.15812979853258033,4.6462854375752757e-07,5.055824128585367,2160,significant
9,income,climate,-0.4755991258204378,1.9696885341297313e-49,-15.054639120619843,3000,significant
9,income,health,-0.3613917148631948,1.1188648516341032e-168,-30.91538920921771,1800,significant
9,income,digital,0.4196041051323561,4.5009529757635314e-124,24.506326896094013,4200,significant
9,income,economy,0.5936330510506966,2.009048043707614e-29,11.441419856158806,2040,significant
9,income,values,0.28702890924186963,1.605426802399664e-08,5.671507416959777,2160,significant
9,age,climate,0.16326162838357136,2.7094987113880475e-164,29.109686560024716,3000,significant
9,age,health,-0.0430126546774194,5.487090040794565e-32,-12.003367512833583,1800,significant
9,age,digital,0.07344547085849075,9.205319289557353e-35,12.411034225513575,4200,significant
9,age,economy,0.18151439252996704,1.28838949447944e-73,18.910631271479186,2040,significant
9,age,values,-0.2724902306300373,3.9347961992332664e-82,-20.048367773739816,2160,significant
9,gender,climate,0.1722692082219641,2.9950089582858004e-57,16.29239038632008,3000,significant
9,gender,health,0.3010303571593876,4.298889381153857e-211,35.65678353118161,1800,significant
9,gender,digital,0.007364218998749861,0.072657657003383,1.7954264720768527,4200,significant
9,gender,economy,-0.14591274115638994,8.266846823504778e-53,-15.746303850528397,2040,significant
9,gender,values,-0.07877818913759896,4.746966768593502e-06,-4.587319535490837,2160,significant
9,education,climate,-0.4798168541812024,1.222372824976987e-163,-29.043341997387383,3000,significant
9,education,health,-0.5218760429577377,1.0750414e-317,-47.266187666373455,1800,significant
9,education,digital,0.0838976475808179,4.3011546605242416e-24,10.18723064432412,4200,significant
9,education,economy,0.15304467829359766,1.7083942693510392e-25,10.577651060874638,2040,significant
9,education,values,0.2503876160781323,3.4383781101560988e-37,12.987279116417715,2160,significant
9,vote,climate,-0.35157284927791654,5.090533160650742e-36,-12.697289984957704,3000,significant
9,vote,health,-0.5166699064328557,7.782024120209251e-274,-42.49677303947299,1800,significant
9,vote,digital,0.15594053337364358,2.5022508631705437e-30,11.535136894039658,4200,significant
9,vote,economy,0.051612734535029584,0.003891245369665153,2.8901533440096907,2040,significant
9,vote,values,0.15812979853258033,4.6462854375752757e-07,5.055824128585367,2160,significant
14,income,climate,-0.4755991258204378,1.9696885341297313e-49,-15.054639120619843,3000,significant
14,income,health,-0.3613917148631948,1.1188648516341032e-168,-30.91538920921771,1800,significant
14,income,digital,0.4196041051323561,4.5009529757635314e-124,24.506326896094013,4200,significant
14,income,economy,0.5936330510506966,2.009048043707614e-29,11.441419856158806,2040,significant
14,income,values,0.28702890924186963,1.605426802399664e-08,5.671507416959777,2160,significant
14,age,climate,0.16326162838357136,2.7094987113880475e-164,29.109686560024716,3000,significant
14,age,health,-0.0430126546774194,5.487090040794565e-32,-12.003367512833583,1800,significant
14,age,digital,0.07344547085849075,9.205319289557353e-35,12.411034225513575,4200,significant
14,age,economy,0.18151439252996704,1.28838949447944e-73,18.910631271479186,2040,significant
14,age,values,-0.2724902306300373,3.9347961992332664e-82,-20.048367773739816,2160,significant
14,gender,climate,0.1722692082219641,2.9950089582858004e-57,16.29239038632008,3000,significant
14,gender,health,0.3010303571593876,4.298889381153857e-211,35.65678353118161,1800,significant
14,gender,digital,0.007364218998749861,0.072657657003383,1.7954264720768527,4200,significant
14,gender,economy,-0.14591274115638994,8.266846823504778e-53,-15.746303850528397,2040,significant
14,gender,values,-0.07877818913759896,4.746966768593502e-06,-4.587319535490837,2160,significant
14,education,climate,-0.4798168541812024,1.222372824976987e-163,-29.043341997387383,3000,significant
14,education,health,-0.5218760429577377,1.0750414e-317,-47.266187666373455,1800,significant
14,education,digital,0.0838976475808179,4.3011546605242416e-24,10.18723064432412,4200,significant
14,education,economy,0.15304467829359766,1.7083942693510392e-25,10.577651060874638,2040,significant
14,education,values,0.2503876160781323,3.4383781101560988e-37,12.987279116417715,2160,significant
14,vote,climate,-0.35157284927791654,5.090533160650742e-36,-12.697289984957704,3000,significant
14,vote,health,-0.5166699064328557,7.782024120209251e-274,-42.49677303947299,1800,significant
14,vote,digital,0.15594053337364358,2.5022508631705437e-30,11.535136894039658,4200,significant
14,vote,economy,0.051612734535029584,0.003891245369665153,2.8901533440096907,2040,significant
14,vote,values,0.15812979853258033,4.6462854375752757e-07,5.055824128585367,2160,significant
18,income,climate,-0.4755991258204378,1.9696885341297313e-49,-15.054639120619843,3000,significant
18,income,health,-0.3613917148631948,1.1188648516341032e-168,-30.91538920921771,1800,significant
18,income,digital,0.4196041051323561,4.5009529757635314e-124,24.506326896094013,4200,significant
18,income,economy,0.5936330510506966,2.009048043707614e-29,11.441419856158806,2040,significant
18,income,values,0.28702890924186963,1.605426802399664e-08,5.671507416959777,2160,significant
18,age,climate,0.16326162838357136,2.7094987113880475e-164,29.109686560024716,3000,significant
18,age,health,-0.0430126546774194,5.487090040794565e-32,-12.003367512833583,1800,significant
18,age,digital,0.07344547085849075,9.205319289557353e-35,12.411034225513575,4200,significant
18,age,economy,0.18151439252996704,1.28838949447944e-73,18.910631271479186,2040,significant
18,age,values,-0.2724902306300373,3.9347961992332664e-82,-20.048367773739816,2160,significant
18,gender,climate,0.1722692082219641,2.9950089582858004e-57,16.29239038632008,3000,significant
18,gender,health,0.3010303571593876,4.298889381153857e-211,35.65678353118161,1800,significant
18,gender,digital,0.007364218998749861,0.072657657003383,1.7954264720768527,4200,significant
18,gender,economy,-0.14591274115638994,8.266846823504778e-53,-15.746303850528397,2040,significant
18,gender,values,-0.07877818913759896,4.746966768593502e-06,-4.587319535490837,2160,significant
18,education,climate,-0.4798168541812024,1.222372824976987e-163,-29.043341997387383,3000,significant
18,education,health,-0.5218760429577377,1.0750414e-317,-47.266187666373455,1800,significant
18,education,digital,0.0838976475808179,4.3011546605242416e-24,10.18723064432412,4200,significant
18,education,economy,0.15304467829359766,1.7083942693510392e-25,10.577651060874638,2040,significant
18,education,values,0.2503876160781323,3.4383781101560988e-37,12.987279116417715,2160,significant
18,vote,climate,-0.35157284927791654,5.090533160650742e-36,-12.697289984957704,3000,significant
18,vote,health,-0.5166699064328557,7.782024120209251e-274,-42.49677303947299,1800,significant
18,vote,digital,0.15594053337364358,2.5022508631705437e-30,11.535136894039658,4200,significant
18,vote,economy,0.051612734535029584,0.003891245369665153,2.8901533440096907,2040,significant
18,vote,values,0.15812979853258033,4.6462854375752757e-07,5.055824128585367,2160,significant
20,income,climate,-0.4755991258204378,1.9696885341297313e-49,-15.054639120619843,3000,significant
20,income,health,-0.3613917148631948,1.1188648516341032e-168,-30.91538920921771,1800,significant
20,income,digital,0.4196041051323561,4.5009529757635314e-124,24.506326896094013,4200,significant
20,income,economy,0.5936330510506966,2.009048043707614e-29,11.441419856158806,2040,significant
20,income,values,0.28702890924186963,1.605426802399664e-08,5.671507416959777,2160,significant
20,age,climate,0.16326162838357136,2.7094987113880475e-164,29.109686560024716,3000,significant
20,age,health,-0.0430126546774194,5.487090040794565e-32,-12.003367512833583,1800,significant
20,age,digital,0.07344547085849075,9.205319289557353e-35,12.411034225513575,4200,significant
20,age,economy,0.18151439252996704,1.28838949447944e-73,18.910631271479186,2040,significant
20,age,values,-0.2724902306300373,3.9347961992332664e-82,-20.048367773739816,2160,significant
20,gender,climate,0.1722692082219641,2.9950089582858004e-57,16.29239038632008,3000,significant
20,gender,health,0.3010303571593876,4.298889381153857e-211,35.65678353118161,1800,significant
20,gender,digital,0.007364218998749861,0.072657657003383,1.7954264720768527,4200,significant
20,gender,economy,-0.14591274115638994,8.266846823504778e-53,-15.746303850528397,2040,significant
20,gender,values,-0.07877818913759896,4.746966768593502e-06,-4.587319535490837,2160,significant
20,education,climate,-0.4798168541812024,1.222372824976987e-163,-29.043341997387383,3000,significant
20,education,health,-0.5218760429577377,1.0750414e-317,-47.266187666373455,1800,significant
20,education,digital,0.0838976475808179,4.3011546605242416e-24,10.18723064432412,4200,significant
20,education,economy,0.15304467829359766,1.7083942693510392e-25,10.577651060874638,2040,significant
20,education,values,0.2503876160781323,3.4383781101560988e-37,12.987279116417715,2160,significant
20,vote,climate,-0.35157284927791654,5.090533160650742e-36,-12.697289984957704,3000,significant
20,vote,health,-0.5166699064328557,7.782024120209251e-274,-42.49677303947299,1800,significant
20,vote,digital,0.15594053337364358,2.5022508631705437e-30,11.535136894039658,4200,significant
20,vote,economy,0.051612734535029584,0.003891245369665153,2.8901533440096907,2040,significant
20,vote,values,0.15812979853258033,4.6462854375752757e-07,5.055824128585367,2160,significant
27,income,climate,-0.4755991258204378,1.9696885341297313e-49,-15.054639120619843,3000,significant
27,income,health,-0.3613917148631948,1.1188648516341032e-168,-30.91538920921771,1800,significant
27,income,digital,0.4196041051323561,4.5009529757635314e-124,24.506326896094013,4200,significant
27,income,economy,0.5936330510506966,2.009048043707614e-29,11.441419856158806,2040,significant
27,income,values,0.28702890924186963,1.605426802399664e-08,5.671507416959777,2160,significant
27,age,climate,0.16326162838357136,2.7094987113880475e-164,29.109686560024716,3000,significant
27,age,health,-0.0430126546774194,5.487090040794565e-32,-12.003367512833583,1800,significant
27,age,digital,0.07344547085849075,9.205319289557353e-35,12.411034225513575,4200,significant
27,age,economy,0.18151439252996704,1.28838949447944e-73,18.910631271479186,2040,significant
27,age,values,-0.2724902306300373,3.9347961992332664e-82,-20.048367773739816,2160,significant
27,gender,climate,0.1722692082219641,2.9950089582858004e-57,16.29239038632008,3000,significant
27,gender,health,0.3010303571593876,4.298889381153857e-211,35.65678353118161,1800,significant
27,gender,digital,0.007364218998749861,0.072657657003383,1.7954264720768527,4200,significant
27,gender,economy,-0.14591274115638994,8.266846823504778e-53,-15.746303850528397,2040,significant
27,gender,values,-0.07877818913759896,4.746966768593502e-06,-4.587319535490837,2160,significant
27,education,climate,-0.4798168541812024,1.222372824976987e-163,-29.043341997387383,3000,significant
27,education,health,-0.5218760429577377,1.0750414e-317,-47.266187666373455,1800,significant
27,education,digital,0.0838976475808179,4.3011546605242416e-24,10.18723064432412,4200,significant
27,education,economy,0.15304467829359766,1.7083942693510392e-25,10.577651060874638,2040,significant
27,education,values,0.2503876160781323,3.4383781101560988e-37,12.987279116417715,2160,significant
27,vote,climate,-0.35157284927791654,5.090533160650742e-36,-12.697289984957704,3000,significant
27,vote,health,-0.5166699064328557,7.782024120209251e-274,-42.49677303947299,1800,significant
27,vote,digital,0.15594053337364358,2.5022508631705437e-30,11.535136894039658,4200,significant
27,vote,economy,0.051612734535029584,0.003891245369665153,2.8901533440096907,2040,significant
27,vote,values,0.15812979853258033,4.6462854375752757e-07,5.055824128585367,2160,significant
32,income,climate,-0.4755991258204378,1.9696885341297313e-49,-15.054639120619843,3000,significant
32,income,health,-0.3613917148631948,1.1188648516341032e-168,-30.91538920921771,1800,significant
32,income,digital,0.4196041051323561,4.5009529757635314e-124,24.506326896094013,4200,significant
32,income,economy,0.5936330510506966,2.009048043707614e-29,11.441419856158806,2040,significant
32,income,values,0.28702890924186963,1.605426802399664e-08,5.671507416959777,2160,significant
32,age,climate,0.16326162838357136,2.7094987113880475e-164,29.109686560024716,3000,significant
32,age,health,-0.0430126546774194,5.487090040794565e-32,-12.003367512833583,1800,significant
32,age,digital,0.07344547085849075,9.205319289557353e-35,12.411034225513575,4200,significant
32,age,economy,0.18151439252996704,1.28838949447944e-73,18.910631271479186,2040,significant
32,age,values,-0.2724902306300373,3.9347961992332664e-82,-20.048367773739816,2160,significant
32,gender,climate,0.1722692082219641,2.9950089582858004e-57,16.29239038632008,3000,significant
32,gender,health,0.3010303571593876,4.298889381153857e-211,35.65678353118161,1800,significant
32,gender,digital,0.007364218998749861,0.072657657003383,1.7954264720768527,4200,significant
32,gender,economy,-0.14591274115638994,8.266846823504778e-53,-15.746303850528397,2040,significant
32,gender,values,-0.07877818913759896,4.746966768593502e-06,-4.587319535490837,2160,significant
32,education,climate,-0.4798168541812024,1.222372824976987e-163,-29.043341997387383,3000,significant
32,education,health,-0.5218760429577377,1.0750414e-317,-47.266187666373455,1800,significant
32,education,digital,0.0838976475808179,4.3011546605242416e-24,10.18723064432412,4200,significant
32,education,economy,0.15304467829359766,1.7083942693510392e-25,10.577651060874638,2040,significant
32,education,values,0.2503876160781323,3.4383781101560988e-37,12.987279116417715,2160,significant
32,vote,climate,-0.35157284927791654,5.090533160650742e-36,-12.697289984957704,3000,significant
32,vote,health,-0.5166699064328557,7.782024120209251e-274,-42.49677303947299,1800,significant
32,vote,digital,0.15594053337364358,2.5022508631705437e-30,11.535136894039658,4200,significant
32,vote,economy,0.051612734535029584,0.003891245369665153,2.8901533440096907,2040,significant
32,vote,values,0.15812979853258033,4.6462854375752757e-07,5.055824128585367,2160,significant
36,income,climate,-0.4755991258204378,1.9696885341297313e-49,-15.054639120619843,3000,significant
36,income,health,-0.3613917148631948,1.1188648516341032e-168,-30.91538920921771,1800,significant
36,income,digital,0.4196041051323561,4.5009529757635314e-124,24.506326896094013,4200,significant
36,income,economy,0.5936330510506966,2.009048043707614e-29,11.441419856158806,2040,significant
36,income,values,0.28702890924186963,1.605426802399664e-08,5.671507416959777,2160,significant
36,age,climate,0.16326162838357136,2.7094987113880475e-164,29.109686560024716,3000,significant
36,age,health,-0.0430126546774194,5.487090040794565e-32,-12.003367512833583,1800,significant
36,age,digital,0.07344547085849075,9.205319289557353e-35,12.411034225513575,4200,significant
36,age,economy,0.18151439252996704,1.28838949447944e-73,18.910631271479186,2040,significant
36,age,values,-0.2724902306300373,3.9347961992332664e-82,-20.048367773739816,2160,significant
36,gender,climate,0.1722692082219641,2.9950089582858004e-57,16.29239038632008,3000,significant
36,gender,health,0.3010303571593876,4.298889381153857e-211,35.65678353118161,1800,significant
36,gender,digital,0.007364218998749861,0.072657657003383,1.7954264720768527,4200,significant
36,gender,economy,-0.14591274115638994,8.266846823504778e-53,-15.746303850528397,2040,significant
36,gender,values,-0.07877818913759896,4.746966768593502e-06,-4.587319535490837,2160,significant
36,education,climate,-0.4798168541812024,1.222372824976987e-163,-29.043341997387383,3000,significant
36,education,health,-0.5218760429577377,1.0750414e-317,-47.266187666373455,1800,significant
36,education,digital,0.0838976475808179,4.3011546605242416e-24,10.18723064432412,4200,significant
36,education,economy,0.15304467829359766,1.7083942693510392e-25,10.577651060874638,2040,significant
36,education,values,0.2503876160781323,3.4383781101560988e-37,12.987279116417715,2160,significant
36,vote,climate,-0.35157284927791654,5.090533160650742e-36,-12.697289984957704,3000,significant
36,vote,health,-0.5166699064328557,7.782024120209251e-274,-42.49677303947299,1800,significant
36,vote,digital,0.15594053337364358,2.5022508631705437e-30,11.535136894039658,4200,significant
36,vote,economy,0.051612734535029584,0.003891245369665153,2.8901533440096907,2040,significant
36,vote,values,0.15812979853258033,4.6462854375752757e-07,5.055824128585367,2160,significant
