idno,cntry,age,gndr,hincfel,vote,eisced,w4gq1,w4hq1,w4dq1,w4eq1,w4hq3,w4gq6,w4dq3,w4eq3,w4hq6,w4gq10_b,w4dq4_3,w4eq7,w4hq9,w4gq12_a,w4dq10,w4eq10,w4hq11,w4gq13_b,w4dq12,w4eq12,w4hq14,w4gq14_b,w4dq13_6,w4eq14,w4hq17,w4gq16_a,w4dq15,w4eq17,w4hq20,w4gq17_b
11244,AT,50,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12605,AT,62,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12966,AT,35,1,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14438,AT,69,2,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14812,AT,44,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18579,AT,50,1,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20848,AT,33,1,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24418,AT,60,1,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24693,AT,74,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25085,AT,71,2,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25832,AT,53,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26322,AT,64,1,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26417,AT,58,2,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31106,AT,47,2,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31876,AT,35,2,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49811,AT,78,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50098,AT,37,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11602,BE,44,2,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12087,BE,62,1,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13796,BE,31,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14212,BE,57,2,3,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14414,BE,75,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14433,BE,56,2,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14815,BE,36,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15443,BE,43,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15916,BE,77,1,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16578,BE,38,2,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18225,BE,29,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18933,BE,61,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19042,BE,41,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19263,BE,45,1,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19980,BE,69,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20215,BE,73,1,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20619,BE,47,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20962,BE,49,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23445,BE,41,2,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23818,BE,56,2,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10460,CZ,52,2,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11928,CZ,62,1,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22844,CZ,81,2,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24213,CZ,78,2,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25273,CZ,65,1,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26304,CZ,67,2,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
